ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,80,183,26,25,2003-07-01
2,81,190,27,26,2003-10-01
3,81,190,27,26,2004-01-01
4,81,194,27,26,2004-04-01
5,81,194,27,26,2004-07-01
6,81,192,27,26,2004-10-01
7,83,240,42,27,2006-01-01
8,81,192,27,26,2005-01-01
9,81,192,27,26,2005-04-01
10,83,240,42,27,2005-07-01
11,83,240,42,27,2005-10-01
12,83,240,42,27,2006-04-01
13,84,250,44,29,2008-04-01
14,84,250,44,29,2008-07-01
15,84,250,44,29,2008-10-01
16,83,228,42,27,2006-07-01
17,83,228,42,27,2006-10-01
18,83,228,42,27,2007-01-01
19,83,228,42,27,2007-04-01
20,84,250,44,29,2007-07-01
21,84,250,44,29,2007-10-01
22,84,250,44,29,2008-01-01
