ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,59,96,24,30,2003-07-01
2,59,96,24,30,2003-10-01
3,59,96,24,30,2004-01-01
4,60,149,39,33,2004-04-01
5,60,153,39,33,2004-07-01
6,60,153,39,33,2004-10-01
7,59,96,24,30,2003-04-01
8,70,154,39,33,2006-01-01
9,60,153,39,33,2005-01-01
10,60,153,39,33,2005-04-01
11,70,154,39,33,2005-07-01
12,70,154,39,33,2005-10-01
13,70,154,39,33,2006-04-01
14,60,252,62,34,2008-04-01
15,60,252,62,34,2008-07-01
16,60,252,62,34,2008-10-01
17,70,154,39,33,2006-07-01
18,70,154,39,33,2006-10-01
19,70,154,39,33,2007-01-01
20,70,154,39,33,2007-04-01
21,70,154,39,33,2007-07-01
22,60,252,62,34,2007-10-01
23,60,252,62,34,2008-01-01
